listing_id,title,make,model,description,manufactured,original_reg_date,reg_date,type_of_vehicle,category,transmission,curb_weight,power,fuel_type,engine_cap,no_of_owners,depreciation,coe,road_tax,dereg_value,mileage,omv,arf,opc_scheme,lifespan,eco_category,features,accessories,indicative_price,price
1292132,2819,43,595,2285,2018.0,57,3042,8,119,0,1884.0,280.0,0,2995.0,2.0,34270.0,48011,2380.0,103323.0,96000.0,88906.0,132031.0,2,1391,0,6623,1189,,193788.0
1294696,3755,51,192,15708,2017.0,57,2992,2,185,0,1465.0,135.0,0,1991.0,2.0,21170.0,47002,1202.0,45179.0,85680.0,40678.0,43950.0,2,1391,0,4425,11982,,96800.0
1311717,2046,29,546,7480,2007.0,57,546,4,39,0,1648.0,118.0,0,2354.0,3.0,12520.0,50355,2442.0,16003.0,138000.0,27994.0,30794.0,2,1391,0,5443,4237,,39800.0
1310068,6090,88,156,12,2008.0,57,850,3,36,0,1195.0,80.0,0,1598.0,3.0,10140.0,27571,1113.0,12184.0,160000.0,16084.0,16084.0,2,1391,0,15458,9958,,44800.0
1325280,2847,44,398,18871,2006.0,57,434,2,36,0,1660.0,183.0,0,2995.0,6.0,13690.0,48479,3570.0,9138.0,183000.0,50414.0,55456.0,2,1391,0,13105,13753,,25800.0
1322170,2086,29,620,8709,2008.0,57,819,6,11,1,1270.0,177.0,0,1997.0,6.0,40320.0,32121,1815.0,13614.0,176000.0,38328.0,38328.0,2,1391,0,5945,12320,,170888.0
1223380,2725,42,415,3550,2022.0,57,4143,6,231,0,1450.0,470.0,0,5204.0,1.0,137430.0,87000,5834.0,483238.0,5400.0,327323.0,561182.0,2,1391,0,11879,1261,,1368000.0
1324451,2205,31,169,6914,2009.0,57,1136,3,36,0,1264.0,89.0,0,1591.0,4.0,15850.0,16184,1107.0,1481.0,187000.0,11422.0,11422.0,2,1391,0,15022,14843,,5350.0
1297569,3726,51,192,6244,2017.0,57,2967,2,189,0,1465.0,135.0,0,1991.0,1.0,22520.0,49000,1202.0,49095.0,49930.0,41077.0,49508.0,2,1391,0,4963,5397,,102500.0
1319802,4493,54,317,8098,2008.0,57,907,6,36,0,1550.0,206.0,0,1998.0,4.0,27450.0,31933,1815.0,14540.0,227124.0,44754.0,44754.0,2,1391,0,15733,7715,,125000.0
1307450,3672,51,191,9598,2010.0,57,1422,2,36,0,1500.0,115.0,0,1597.0,5.0,12970.0,39844,1039.0,26734.0,180000.0,31893.0,31893.0,2,1391,0,12558,3368,,87000.0
1308735,5666,83,430,12,2007.0,57,546,3,36,1,1260.0,70.0,0,1597.0,5.0,13130.0,44081,1113.0,14372.0,84000.0,10074.0,11082.0,2,1391,0,16485,2040,,42800.0
1270388,4538,54,204,12791,2019.0,57,3382,9,0,1,2380.0,111.0,0,2998.0,1.0,14080.0,23280,1107.0,11544.0,84000.0,29628.0,1482.0,2,882,0,16527,14033,,69800.0
1277224,4002,51,284,12,2017.0,57,2972,2,185,0,1700.0,110.0,0,1950.0,2.0,23930.0,57501,1734.0,46976.0,100000.0,46134.0,41588.0,2,1391,0,3848,4098,,103800.0
1324260,584,8,50,6281,2016.0,57,2716,2,185,0,1425.0,100.0,0,1499.0,2.0,17210.0,50389,684.0,29459.0,82000.0,29860.0,28804.0,2,1391,0,13600,5076,,55999.0
1319106,245,4,577,5179,2020.0,57,3702,8,185,0,1545.0,110.0,0,1395.0,2.0,20740.0,41510,624.0,51246.0,55000.0,30410.0,34574.0,2,1391,0,874,12226,,143800.0
1308408,6662,88,748,10278,2009.0,57,1105,3,10,0,1095.0,80.0,0,1497.0,4.0,15850.0,15287,1026.0,1156.0,84000.0,12717.0,12717.0,2,1391,0,2105,10438,,5800.0
1276874,4683,54,552,1102,2018.0,57,3251,8,189,0,1480.0,110.0,0,1998.0,1.0,16190.0,34381,1210.0,31811.0,47000.0,22527.0,23538.0,2,1391,0,4316,15169,,84000.0
1267158,3294,49,41,7863,2017.0,57,2826,3,119,0,1310.0,88.0,0,1496.0,2.0,14450.0,52000,682.0,21300.0,87000.0,14761.0,9761.0,2,1391,0,1258,15713,,47800.0
1311224,1717,88,220,9509,2018.0,57,3282,3,194,0,1324.0,127.0,0,1498.0,2.0,17430.0,30851,684.0,34304.0,64000.0,26594.0,29232.0,2,1391,0,16192,3174,,92950.0
1264632,909,8,96,4100,2006.0,57,342,6,10,0,1580.0,190.0,0,2996.0,5.0,16480.0,47450,3573.0,8580.0,84000.0,73635.0,80999.0,2,1391,0,16121,2040,,29800.0
1317999,3277,49,14,19185,2019.0,57,3727,1,101,0,1067.0,85.0,0,1496.0,1.0,10440.0,19534,182.0,25904.0,45000.0,18419.0,18419.0,2,1391,0,1846,1844,,73800.0
1156237,5054,62,80,9035,1981.0,48,4272,3,76,1,1140.0,59.0,0,1796.0,2.0,15850.0,10766,280.0,9058.0,84000.0,3613.0,3613.0,2,1391,0,9034,6587,,49888.0
1313709,6443,88,536,12,2018.0,57,3177,4,187,0,1610.0,100.0,4,1797.0,1.0,22310.0,38700,974.0,35279.0,85100.0,32573.0,27603.0,2,1391,0,11400,14315,,105800.0
